customer_id,recency,frequency,monetary,country,label
12347,371,182,4310.0,Iceland,0
12348,298,31,1797.24,Finland,3
12349,355,73,1757.55,Italy,3
12350,63,17,334.4,Norway,2
12352,337,85,2506.04,Norway,3
12353,169,4,89.0,Bahrain,1
12354,141,58,1079.4,Spain,2
12355,159,13,459.4,Bahrain,1
12356,351,59,2811.43,Portugal,3
12357,340,131,6207.67,Switzerland,3
12358,372,19,1168.06,Austria,3
12359,316,245,6310.03,Cyprus,0
12360,321,129,2662.06,Austria,3
12361,86,10,189.9,Belgium,2
12362,370,266,5226.23,Belgium,0
12363,264,23,552.0,Unspecified,1
12364,366,85,1313.1,Belgium,3
12365,82,22,641.38,Cyprus,2
12367,369,11,168.9,Denmark,3
12370,322,166,3541.94,Cyprus,3
12371,329,63,1887.96,Switzerland,3
12372,302,52,1298.04,Denmark,3
12373,62,14,364.6,Austria,2
12374,348,33,742.9300000000001,Austria,3
12375,363,17,457.5,Finland,3
12377,58,77,1628.12,Switzerland,2
12378,244,219,4008.62,Switzerland,1
12379,292,40,852.24,Belgium,3
12380,352,104,2724.81,Belgium,3
12381,369,87,1845.31,Norway,3
12383,189,99,1850.56,Belgium,1
12384,345,27,585.27,Switzerland,3
12386,36,10,401.9,Australia,2
12388,358,100,2780.66,Australia,3
12390,294,32,549.84,Belgium,3
12391,352,93,439.66,Cyprus,3
12393,301,64,1582.6,Australia,3
12394,310,27,1272.48,Belgium,3
12395,354,156,3018.63,Belgium,3
12397,338,126,2409.9,Belgium,3
12398,328,85,1635.66,Switzerland,3
12399,254,59,1108.65,Belgium,1
12401,70,5,84.3,Belgium,2
12402,50,11,225.6,Belgium,2
12403,324,5,427.7,Denmark,3
12405,225,54,1710.39,Finland,1
12406,351,105,3415.3,Denmark,3
12407,324,77,1708.12,Belgium,3
12408,341,105,2888.55,Belgium,3
12409,295,109,11072.67,Switzerland,3
12410,65,26,693.3299999999999,Switzerland,2
12412,299,61,1226.88,Denmark,3
12413,307,38,758.1,France,3
12414,156,18,562.41,Austria,1
12417,370,192,3649.1,Belgium,0
12418,261,34,668.58,Switzerland,1
12420,310,29,600.39,Cyprus,3
12421,358,45,807.04,Spain,3
12422,278,39,803.5600000000001,Australia,3
12423,373,125,1859.31,Belgium,3
12424,211,30,1760.96,Australia,1
12425,295,36,777.2,Portugal,3
12426,179,30,582.73,Germany,1
12427,352,31,825.8,Germany,3
12428,348,294,7956.46,Finland,0
12429,364,97,3750.4,Denmark,3
12430,330,11,256.4,Norway,3
12431,338,235,6419.95,Australia,0
12432,331,108,5059.32,Norway,3
12433,373,420,13375.87,Norway,0
12434,289,50,806.14,Australia,3
12435,294,36,7829.89,Denmark,3
